19:01:48, уставка 50.0-57.0, текущая темп. 56.5, охл. ВКЛ., нагр. ВЫКЛ.
19:01:49, уставка 50.0-57.0, текущая темп. 56.5, охл. ВКЛ., нагр. ВЫКЛ.
19:01:50, уставка 50.0-57.0, текущая темп. 56.5, охл. ВКЛ., нагр. ВЫКЛ.
19:01:52, уставка 50.0-57.0, текущая темп. 57.0, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:53, уставка 50.0-57.0, текущая темп. 57.0, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:54, уставка 50.0-57.0, текущая темп. 57.6, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:55, уставка 50.0-57.0, текущая темп. 57.6, охл. ВЫКЛ., нагр. ВЫКЛ.
19:01:56, уставка 50.0-57.0, текущая темп. 57.6, охл. ВКЛ., нагр. ВЫКЛ.
19:01:57, уставка 50.0-57.0, текущая темп. 57.9, охл. ВКЛ., нагр. ВЫКЛ.
19:01:58, уставка 50.0-57.0, текущая темп. 57.9, охл. ВКЛ., нагр. ВЫКЛ.


вка 50.0-57.0, текущая темп. 59.5, охл. ВКЛ., нагр. ВЫКЛ.
23:09:00, уставка 50.0-57.0, текущая темп. 59.5, охл. ВКЛ., нагр. ВЫКЛ.
23:09:01, уставка 50.0-57.0, текущая темп. 58.3, охл. ВКЛ., нагр. ВЫКЛ.
23:09:02, уставка 50.0-57.0, текущая темп. 58.3, охл. ВКЛ., нагр. ВЫКЛ.
23:09:03, уставка 50.0-57.0, текущая темп. 57.3, охл. ВКЛ., нагр. ВЫКЛ.
23:09:04, уставка 50.0-57.0, текущая темп. 57.3, охл. ВКЛ., нагр. ВЫКЛ.
23:09:05, уставка 50.0-57.0, текущая темп. 57.3, охл. ВКЛ., нагр. ВЫКЛ.
23:09:06, уставка 50.0-57.0, текущая темп. 56.3, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:07, уставка 50.0-57.0, текущая темп. 56.3, охл. ВЫКЛ., нагр. ВЫКЛ.
